p,Paper,Min Time,Time opt
500,2662995,2175582,2042983.7272256636
500,2618678,2110824,1997005.0680836043
500,2563826,2042979,1953916.1450124227
500,2725541,2285398,2085551.3070061237
500,2613156,2101671,1985888.8685753127
500,2575481,2071623,1970281.3485280545
500,2694108,2176679,2066041.4282661593
500,2671817,2158353,2047164.713754969
500,2565335,2105953,1963394.3490815647
500,2607291,2211589,2013283.8759888585
1000,1301757,1179021,1021491.8636128318
1000,1277453,1146044,998502.5340418022
1000,1248831,1103813,976958.0725062113
1000,1299676,1238224,1042775.6535030619
1000,1249342,1120964,992944.4342876563
1000,1257426,1084121,985140.6742640273
1000,1321131,1171670,1033020.7141330796
1000,1301307,1160016,1023582.3568774845
1000,1233847,1160289,981697.1745407823
1000,1262242,1203506,1006641.9379944293
1500,836805,829759,680994.5757418879
1500,838941,816225,665668.3560278681
1500,812366,794972,651305.3816708076
1500,827253,911737,695183.7690020413
1500,813145,810588,661962.9561917708
1500,810649,761366,656760.4495093515
1500,853571,828468,688680.4760887198
1500,842497,838454,682388.2379183229
1500,803415,840146,654464.7830271883
1500,819372,885898,671094.6253296195
2000,616150,664837,510745.9318064159
2000,620193,664976,499251.2670209011
2000,593887,626761,488479.0362531057
2000,619375,740479,521387.8267515309
2000,593657,654318,496472.21714382817
2000,594276,606573,492570.33713201364
2000,628319,661827,516510.3570665398
2000,625714,690033,511791.17843874224
2000,585897,661806,490848.5872703912
2000,609208,722271,503320.96899721463
2500,486110,553126,408596.74544513266
2500,487436,550190,399401.01361672085
2500,474600,521846,390783.2290024846
2500,486620,634162,417110.26140122476
2500,476657,544380,397177.77371506253
2500,474976,521056,394056.2697056109
2500,483727,574744,413208.28565323184
2500,491911,566960,409432.94275099377
2500,460289,553913,392678.8698163129
2500,482688,608596,402656.77519777167
3000,390375,486394,340497.2878709439
3000,399197,479482,332834.17801393406
3000,393222,446093,325652.6908354038
3000,401801,552960,347591.88450102066
3000,392131,472681,330981.4780958854
3000,388728,437876,328380.22475467576
3000,402490,504025,344340.2380443599
3000,413374,484723,341194.11895916145
3000,383590,474383,327232.39151359414
3000,404608,538896,335547.31266480975
3500,335739,417586,291854.8181750948
3500,344353,406529,285286.43829765776
3500,347614,410596,279130.8778589175
3500,358543,469381,297935.9010008748
3500,329260,393213,283698.4097964732
3500,332384,382530,281468.76407543634
3500,345421,409766,295148.7754665942
3500,357265,439730,292452.10196499556
3500,332400,417103,280484.9070116521
3500,358065,473140,287611.9822841226
4000,302126,353471,255372.96590320792
4000,310745,331378,249625.63351045054
4000,304141,349020,244239.51812655284
4000,327437,409996,270565.5731416399
4000,286994,349639,248236.10857191408
4000,286958,328066,246285.16856600682
4000,298068,383907,258255.1785332699
4000,318117,347239,255895.58921937112
4000,283178,376129,245424.2936351956
4000,325974,383991,266102.84538056504
4500,274820,284663,226998.1919139626
4500,285519,299362,221889.45200928938
4500,273387,289003,217101.7938902692
4500,315463,334258,270565.5731416399
4500,259389,274213,220654.31873059028
4500,257205,270595,218920.1498364505
4500,269895,293544,229560.15869623993
4500,291440,298352,227462.7459727743
4500,262259,284364,218154.9276757294
4500,305199,327267,266102.84538056504
5000,257430,270326,204298.37272256633
5000,269761,273712,203541.27034132933
5000,257908,269496,195391.6145012423
5000,304438,310605,270565.5731416399
5000,243144,249120,198588.88685753127
5000,235668,249151,197028.13485280544
5000,254970,262276,206604.14282661592
5000,269141,268199,204716.47137549688
5000,242635,255560,196339.43490815646
5000,294077,307213,266102.84538056504
