density,Paper,Min Time,Time opt
0.1,1080457,1437232,680994.575741888
0.1,1059880,1435992,665668.3560278681
0.1,1035443,1381930,651305.3816708077
0.1,1061500,1442007,695183.7690020413
0.1,1040849,1428337,661962.9561917708
0.1,1034540,1390461,656760.4495093515
0.1,1059251,1471991,688680.4760887198
0.1,1064660,1482089,682388.2379183229
0.1,1035997,1363565,654464.7830271883
0.1,1032624,1421535,671094.6253296196
0.1,1072376,1488949,687968.1991749887
0.1,1071790,1459481,689580.9764586004
0.1,1039099,1379174,648486.2089159007
0.1,1041823,1403807,654292.812703227
0.1,1087911,1439054,680483.9164037626
0.1,1023857,1387963,648587.8302313236
0.1,1053000,1434426,677632.4893569172
0.1,1081496,1460949,676624.4427130695
0.1,1099438,1499674,705587.8103228756
0.1,1058533,1423628,664365.370392963
0.1,1014267,1369572,640319.276471287
0.1,1075460,1475611,690307.7181537312
0.1,1072900,1439101,685089.6095134421
0.1,1000176,1341817,630414.4107754435
0.1,1036053,1404431,662512.3984567322
0.1,1057409,1461047,668547.9561378651
0.1,1074665,1444922,680043.2235309207
0.1,1075613,1479020,693004.7815155316
0.1,1029233,1401562,669099.2209609596
0.1,1106717,1525264,708630.5724702912
0.2,1074861,1443390,680994.575741888
0.2,1070082,1458988,665668.3560278681
0.2,1031645,1390058,651305.3816708077
0.2,1080850,1467221,695183.7690020413
0.2,1028310,1463936,661962.9561917708
0.2,1036335,1410630,656760.4495093515
0.2,1060737,1484807,688680.4760887198
0.2,1058590,1498316,682388.2379183229
0.2,1035957,1399636,654464.7830271883
0.2,1033376,1418501,671094.6253296196
0.2,1071820,1520513,687968.1991749887
0.2,1072733,1460382,689580.9764586004
0.2,1044890,1394042,648486.2089159007
0.2,1040343,1419252,654292.812703227
0.2,1082907,1466424,680483.9164037626
0.2,1028881,1388016,648587.8302313236
0.2,1051350,1448138,677632.4893569172
0.2,1083923,1481865,676624.4427130695
0.2,1087504,1481743,705587.8103228756
0.2,1053914,1383042,664365.370392963
0.2,1012036,1393212,640319.276471287
0.2,1078720,1473975,690307.7181537312
0.2,1073436,1448954,685089.6095134421
0.2,998149,1353286,630414.4107754435
0.2,1050952,1439191,662512.3984567322
0.2,1068647,1455957,668547.9561378651
0.2,1074777,1459955,680043.2235309207
0.2,1075715,1499846,693004.7815155316
0.2,1030733,1407569,669099.2209609596
0.2,1108264,1505905,708630.5724702912
0.3,1075939,1473856,680994.575741888
0.3,1058485,1445650,665668.3560278681
0.3,1036378,1413387,651305.3816708077
0.3,1066195,1473442,695183.7690020413
0.3,1032054,1441028,661962.9561917708
0.3,1044649,1414070,656760.4495093515
0.3,1069178,1515608,688680.4760887198
0.3,1075936,1510606,682388.2379183229
0.3,1038331,1404619,654464.7830271883
0.3,1025232,1405598,671094.6253296196
0.3,1072795,1512288,687968.1991749887
0.3,1079561,1490956,689580.9764586004
0.3,1048166,1405456,648486.2089159007
0.3,1035180,1403095,654292.812703227
0.3,1084714,1456324,680483.9164037626
0.3,1027595,1388882,648587.8302313236
0.3,1059018,1467395,677632.4893569172
0.3,1083639,1499143,676624.4427130695
0.3,1099394,1526890,705587.8103228756
0.3,1067517,1427204,664365.370392963
0.3,1013254,1395454,640319.276471287
0.3,1079427,1502023,690307.7181537312
0.3,1074696,1468150,685089.6095134421
0.3,992821,1358569,630414.4107754435
0.3,1043902,1428136,662512.3984567322
0.3,1069216,1468973,668547.9561378651
0.3,1078042,1485963,680043.2235309207
0.3,1078907,1498662,693004.7815155316
0.3,1037517,1416965,669099.2209609596
0.3,1104553,1526192,708630.5724702912
0.4,1082434,1454033,680994.575741888
0.4,1058480,1472422,665668.3560278681
0.4,1045136,1427126,651305.3816708077
0.4,1080840,1472150,695183.7690020413
0.4,1036038,1459953,661962.9561917708
0.4,1042668,1449162,656760.4495093515
0.4,1076836,1492010,688680.4760887198
0.4,1069611,1495854,682388.2379183229
0.4,1046603,1424907,654464.7830271883
0.4,1030885,1429558,671094.6253296196
0.4,1073193,1505855,687968.1991749887
0.4,1074438,1503136,689580.9764586004
0.4,1049043,1421690,648486.2089159007
0.4,1045952,1436259,654292.812703227
0.4,1089730,1469635,680483.9164037626
0.4,1024568,1409292,648587.8302313236
0.4,1056051,1469118,677632.4893569172
0.4,1086052,1487835,676624.4427130695
0.4,1090539,1520307,705587.8103228756
0.4,1061659,1425073,664365.370392963
0.4,1021366,1401754,640319.276471287
0.4,1074917,1468782,690307.7181537312
0.4,1086111,1476573,685089.6095134421
0.4,997802,1374898,630414.4107754435
0.4,1047404,1442895,662512.3984567322
0.4,1063569,1477462,668547.9561378651
0.4,1078695,1499285,680043.2235309207
0.4,1078923,1543085,693004.7815155316
0.4,1042893,1446423,669099.2209609596
0.4,1109624,1544845,708630.5724702912
0.5,1092836,1474762,680994.575741888
0.5,1067317,1502502,665668.3560278681
0.5,1045706,1405905,651305.3816708077
0.5,1082526,1482464,695183.7690020413
0.5,1038940,1450487,661962.9561917708
0.5,1045566,1432607,656760.4495093515
0.5,1068489,1525927,688680.4760887198
0.5,1081545,1514451,682388.2379183229
0.5,1054340,1438300,654464.7830271883
0.5,1037354,1423232,671094.6253296196
0.5,1073419,1494655,687968.1991749887
0.5,1084599,1504269,689580.9764586004
0.5,1048178,1432603,648486.2089159007
0.5,1034205,1427687,654292.812703227
0.5,1091614,1466848,680483.9164037626
0.5,1025085,1411237,648587.8302313236
0.5,1052978,1478751,677632.4893569172
0.5,1078810,1517151,676624.4427130695
0.5,1094711,1513814,705587.8103228756
0.5,1062726,1433918,664365.370392963
0.5,1019753,1401608,640319.276471287
0.5,1086285,1509752,690307.7181537312
0.5,1081464,1480516,685089.6095134421
0.5,995263,1396276,630414.4107754435
0.5,1047489,1446036,662512.3984567322
0.5,1068296,1478696,668547.9561378651
0.5,1069238,1468762,680043.2235309207
0.5,1073797,1528810,693004.7815155316
0.5,1039040,1438755,669099.2209609596
0.5,1119137,1519974,708630.5724702912
0.6,1086726,1471508,680994.575741888
0.6,1063255,1479817,665668.3560278681
0.6,1038521,1418968,651305.3816708077
0.6,1075658,1479731,695183.7690020413
0.6,1034425,1467026,661962.9561917708
0.6,1043795,1418397,656760.4495093515
0.6,1070039,1504153,688680.4760887198
0.6,1074505,1507685,682388.2379183229
0.6,1044257,1445131,654464.7830271883
0.6,1040727,1439380,671094.6253296196
0.6,1071440,1529294,687968.1991749887
0.6,1078929,1477764,689580.9764586004
0.6,1052836,1421634,648486.2089159007
0.6,1035737,1422322,654292.812703227
0.6,1096541,1491480,680483.9164037626
0.6,1039691,1413725,648587.8302313236
0.6,1063028,1491204,677632.4893569172
0.6,1090542,1511219,676624.4427130695
0.6,1103856,1519158,705587.8103228756
0.6,1059472,1430288,664365.370392963
0.6,1020862,1418602,640319.276471287
0.6,1076688,1486067,690307.7181537312
0.6,1081606,1494406,685089.6095134421
0.6,1000314,1366533,630414.4107754435
0.6,1051260,1441135,662512.3984567322
0.6,1074487,1476107,668547.9561378651
0.6,1081764,1486093,680043.2235309207
0.6,1083214,1519851,693004.7815155316
0.6,1040214,1455755,669099.2209609596
0.6,1107665,1533217,708630.5724702912
0.7,1089409,1511750,680994.575741888
0.7,1065394,1475114,665668.3560278681
0.7,1046099,1439435,651305.3816708077
0.7,1072948,1494193,695183.7690020413
0.7,1032981,1474585,661962.9561917708
0.7,1044399,1452948,656760.4495093515
0.7,1068290,1509433,688680.4760887198
