fat,Paper,Min Time,Time opt
0.1,11128241,8732862,8732607.263446499
0.1,11647945,9308307,9308057.7540304
0.1,11176749,8887051,8886801.010959618
0.1,12983982,10542539,10542286.164486926
0.1,11709425,9383096,9382846.433924496
0.1,10642903,8332544,8332293.115632522
0.1,11981277,9560579,9560333.529117024
0.1,12873411,10477204,10476954.120251453
0.1,11758448,9458910,9458654.096560894
0.1,13061625,10706024,10705774.79721238
0.1,13636544,11222302,11222056.230130605
0.1,12658035,10235725,10235475.953415314
0.1,11268094,8988649,8988390.887532195
0.1,12466187,10168916,10168672.562334169
0.1,12003148,9611635,9611398.096644728
0.1,11718351,9439614,9439363.132388474
0.1,13142638,10763977,10763730.701950619
0.1,13415437,11041016,11040753.912882304
0.1,11869083,9387986,9387733.206276577
0.1,13864272,11534488,11534244.240485713
0.1,11230422,8979934,8979682.553702556
0.1,12785957,10361387,10361130.896741232
0.1,14322326,11919939,11919697.82431938
0.1,11445679,9230930,9230679.755113209
0.1,11490261,9161463,9161210.661316173
0.1,11720939,9371202,9370969.84651471
0.1,12709051,10320805,10320544.424787309
0.1,13350390,10917568,10917310.565875966
0.1,13273802,10925801,10925555.44091937
0.1,11207630,8714170,8713910.576706866
0.2,5700703,8732862,4565103.3105278695
0.2,5855692,9308307,4749090.432025297
0.2,5418199,8887051,4388432.890178475
0.2,6921607,10542539,5786871.9088727785
0.2,6285116,9383096,5196189.025034764
0.2,5635151,8332544,4627706.406307378
0.2,5688727,9560579,4466134.730697571
0.2,6568352,10477204,5538801.420283115
0.2,5147411,9458910,3984897.51836946
0.2,7136725,10706024,6173877.925091953
0.2,5926137,11222302,4786415.667423409
0.2,6284375,10235725,5108518.1197193265
0.2,5954805,8988649,4892616.449940082
0.2,6391800,10168916,5308906.966270852
0.2,6694178,9611635,5629952.599898969
0.2,5711478,9439614,4745958.080097783
0.2,6057882,10763977,5012619.604414712
0.2,6894796,11041016,5638456.818328557
0.2,5707039,9387986,4409417.840265127
0.2,7163218,11534488,5973980.861208352
0.2,5343122,8979934,4375667.638286242
0.2,7901242,10361387,6808885.336073192
0.2,7317068,11919939,6149824.987954256
0.2,6888723,9230930,5898638.00323315
0.2,5807949,9161463,4713559.213459649
0.2,6304113,9371202,5270532.288255345
0.2,6149735,10320805,4943880.041612212
0.2,7383604,10917568,6221651.385777693
0.2,6423118,10925801,5327180.606305793
0.2,5335054,8714170,4124094.892232307
0.3,4725673,8732862,4127304.159061
0.3,4904721,9308307,4343719.260605913
0.3,5014523,8887051,4376690.354095588
0.3,6063562,10542539,5466569.444241657
0.3,5130355,9383096,4436076.882685004
0.3,4998541,8332544,4395069.606401435
0.3,4829931,9560579,4075217.8999653244
0.3,5604601,10477204,4958293.499939895
0.3,4794027,9458910,4231774.602375729
0.3,6433309,10706024,5889942.24206798
0.3,5457719,11222302,4802866.820074888
0.3,5224620,10235725,4684820.845868432
0.3,5125098,8988649,4540460.108400506
0.3,6048874,10168916,5482681.371575541
0.3,5063746,9611635,4475443.048687937
0.3,5203717,9439614,4647236.75829496
0.3,5949757,10763977,5411942.91336147
0.3,6262517,11041016,5660869.57739292
0.3,5209492,9387986,4616216.211873946
0.3,6171592,11534488,5548928.424010551
0.3,5014187,8979934,4340572.297381573
0.3,5475287,10361387,4907989.885356163
0.3,5578656,11919939,4937510.901084359
0.3,5000564,9230930,4444188.441237304
0.3,4602299,9161463,3959467.417400378
0.3,4651375,9371202,4024741.4792825375
0.3,5685159,10320805,5102742.952055409
0.3,5895275,10917568,5294768.042393456
0.3,5990938,10925801,5433470.253128868
0.3,4697753,8714170,4054137.9863773296
0.4,4126911,8732862,3531293.337244801
0.4,4065095,9308307,3646017.3357262146
0.4,4503634,8887051,4044245.513574129
0.4,4958371,10542539,4587996.309565542
0.4,4426273,9383096,3999936.5442832885
0.4,4469090,8332544,3909757.4684174946
0.4,4571910,9560579,4151977.5884709684
0.4,4349644,10477204,3761632.8245518687
0.4,3881189,9458910,3471796.2162801516
0.4,4595994,10706024,4092140.523404604
0.4,4725073,11222302,4220153.855079935
0.4,4882670,10235725,4498053.513500365
0.4,4172391,8988649,3707183.468654433
0.4,4684926,10168916,4164238.1359762372
0.4,4274245,9611635,3824673.1500898413
0.4,4747910,9439614,4330106.97552625
0.4,5382692,10763977,4980458.923838166
0.4,4601080,11041016,3971120.594492957
0.4,4217293,9387986,3803642.990945729
0.4,5008007,11534488,4621686.181453832
