jump,Paper,Min Time,Time opt
1,2971945,8732862,2210580.188521305
1,3248866,9308307,2588827.427985437
1,3363083,8887051,2927781.1433675494
1,3854206,10542539,3246985.940030298
1,3403672,9383096,2727060.909137558
1,3377202,8332544,2883109.576729342
1,3261042,9560579,2631711.989954019
1,3857277,10477204,3322412.666298089
1,3794531,9458910,3002579.384506991
1,3962755,10706024,3416071.278349194
2,2879424,8732862,1833457.3041064306
2,3231849,9308307,2450945.4833642696
2,3140214,8887051,2584436.0912700226
2,3642381,10542539,2673533.7873967723
2,3038518,9383096,2154704.73788129
2,2931947,8332544,2078979.1702184798
2,3443390,9560579,2621872.328250843
2,3583745,10477204,2664857.707676518
2,3147021,9458910,2334264.730849071
2,3436050,10706024,2660010.80834669
3,2797464,8732862,1446150.165147808
3,2980604,9308307,1820078.5797671382
3,2886241,8887051,1816477.978944237
3,3460175,10542539,2323844.08113766
3,3000379,9383096,1580048.6393789954
3,3024005,8332544,2308730.561032537
3,3134608,9560579,1872485.8949231573
3,3424178,10477204,2468703.683241342
3,3109489,9458910,2013045.4335569255
3,3485240,10706024,2741707.4494361305
4,2898908,8732862,1761655.9927391384
4,3106988,9308307,1838363.7495125355
4,2897927,8887051,1980446.626835475
4,3400913,10542539,1944273.563368951
4,3240820,9383096,1876292.9997269048
4,2715160,8332544,1715096.889263072
4,3212118,9560579,2103561.722648711
4,3270871,10477204,1676644.9858959164
4,3028934,9458910,1975368.6759628593
4,3278548,10706024,1826156.4636449686
5,2821424,8732862,1582088.8858294112
5,2978230,9308307,1535657.1701326426
5,2962252,8887051,1840382.3119897349
5,3395930,10542539,1991119.8116667783
5,3039240,9383096,1803027.0642971634
5,2840467,8332544,1631612.3217963246
5,3065436,9560579,1469453.0618966192
5,3270075,10477204,1578118.5180210532
5,3119113,9458910,1721940.1771813866
5,3308545,10706024,1623840.4277243584
6,2787383,8732862,1253473.9018846836
6,2945195,9308307,1539247.5996653005
6,2856594,8887051,1509872.346430373
6,3327288,10542539,1907626.2177488848
6,3020159,9383096,1454164.415584802
6,2898375,8332544,1596869.5337020182
6,3142042,9560579,1583335.8775785011
6,3296378,10477204,1196844.2969525456
6,3291298,9458910,2183727.4192254385
6,3429940,10706024,1686962.6741533494
7,2836649,8732862,1458771.8127069366
7,2923006,9308307,1286159.746311951
7,2894134,8887051,1277966.1309759973
7,3325967,10542539,1799632.513687825
7,3032490,9383096,1435892.966556406
7,2867457,8332544,1483287.7831263007
7,3055219,9560579,1498044.3364095853
7,3252257,10477204,1505199.1731675586
7,2979962,9458910,1174297.696791767
7,3337771,10706024,1694535.075653699
8,2816483,8732862,1018073.911989244
8,3026071,9308307,1349564.453731258
8,2926080,8887051,1441741.4400295794
8,3316324,10542539,1474327.3535969409
8,3050649,9383096,1258745.935190361
8,2873423,8332544,1194050.3778941557
8,3048594,9560579,1224397.8796302367
8,3251695,10477204,1356403.3737850965
8,3025341,9458910,1195079.374876175
8,3312615,10706024,1441474.396739949
9,2796267,8732862,1373691.8437552438
9,2959613,9308307,1386682.8796635172
9,2923133,8887051,1342492.2139739124
9,3335936,10542539,1341764.7162055231
9,2993133,9383096,1371969.8309296167
9,3029543,8332544,1571069.364180001
9,3081969,9560579,1188086.46622615
9,3291783,10477204,984169.9289059205
9,3056724,9458910,1277711.1112600318
9,3399758,10706024,1320125.6037209125
10,2799431,8732862,1158449.8834746068
10,2952858,9308307,1168678.3244478495
10,2801835,8887051,1686406.1183130366
10,3300683,10542539,1302497.1550263793
10,3041606,9383096,1354860.6306288703
10,3027336,8332544,1638637.0995573406
10,3068668,9560579,1201712.9686043446
10,3314179,10477204,1162728.912487215
10,3002254,9458910,1455603.5238105084
10,3413918,10706024,1241186.3251923034
