p,Paper,Min Time,Time opt
500,4420338,10084099,2453098.0706650885
500,4576062,10628117,2756483.5018340815
500,4453311,10178671,2600466.683149136
500,5182416,11919764,3269508.337406044
500,4603659,10695379,2827083.702177847
500,4604642,9635812,3272789.8696683515
500,4767980,10926085,2909590.874839308
500,5038582,11828917,3006692.4990372113
500,4721921,10756084,3113659.638425094
500,5180940,12034824,3619090.200291997
500,5117726,12584191,3246343.096881002
500,5068166,11602147,3407278.485912073
500,4549024,10274478,2623442.5729273246
500,4661154,11464811,2798402.957879804
500,4696841,10960695,2762485.977478094
500,4642257,10725062,3141279.594868862
500,5218509,12105782,3365561.06246656
500,5249921,12380427,3354366.7855156744
500,4805936,10787576,2628696.124964251
500,5160016,12848727,3518984.104528248
500,4383403,10249453,2916350.3777640667
500,5012765,11729085,3187921.3561850153
500,5520151,13275137,3381784.832115914
500,4683796,10480293,2996434.5556023554
500,5010498,10475149,3249896.593917647
500,4676196,10696707,2719691.611185384
500,4787108,11668012,2997386.9395922925
500,5186892,12289921,3548796.4326655907
500,5021511,12250335,3172949.28497129
500,4570790,10120743,2736541.9654893833
1000,3335407,9070662,2393337.0387256565
1000,3612354,9638255,2696956.9313544724
1000,3574810,9209956,2547107.2213907638
1000,4194712,10886849,3215466.146271094
1000,3653477,9711166,2766203.6218668055
1000,3723521,8658364,3211205.330287286
1000,3728645,9901970,2851786.461487115
1000,3972926,10815140,2942961.782602274
1000,3805137,9783204,3052182.751741772
1000,4392188,11038215,3563110.8413524786
1000,4224627,11562779,3181076.6498416164
1000,4134184,10577332,3343376.8438233314
1000,3693588,9310103,2569847.692026553
1000,3672106,10492898,2734395.0181936985
1000,3677011,9948903,2697477.552695491
1000,3808880,9760982,3086296.2431316115
1000,4317646,11099422,3306169.4111935752
1000,4245478,11375859,3293113.0913193314
1000,3678594,9737887,2559758.9608567934
1000,4230007,11863047,3459348.95027298
1000,3425437,9297308,2854950.9095959226
1000,4011436,10703306,3131674.3201989313
1000,4527009,12258749,3324767.693321773
1000,3763838,9543259,2937881.128910184
1000,4075054,9489879,3193328.6313560447
1000,3578093,9702591,2662986.3269256246
1000,3758335,10657604,2937181.007786313
1000,4267163,11260658,3488621.36595303
1000,3995874,11256932,3111202.6941872295
1000,3556073,9065795,2682735.8072986016
1500,3081219,8732862,2373416.6947458466
1500,3417145,9308307,2677114.741194604
1500,3253389,8887051,2529867.2056780555
1500,3944785,10542539,3199005.1734100496
1500,3375809,9383096,2745910.261763125
1500,3518210,8332544,3190677.150493598
1500,3461162,9560579,2833764.46908562
1500,3682279,10477204,2922235.284848058
1500,3540006,9458910,3031695.308714151
1500,4140608,10706024,3544451.0550393066
1500,3936376,11222302,3159321.167495155
1500,3906765,10235725,3322486.5945965904
1500,3259856,8988649,2552841.208066106
1500,3378420,10168916,2713105.5553486133
1500,3391704,9611635,2675808.0777679565
1500,3577968,9439614,3068419.871064995
1500,4056304,10763977,3286372.1941025797
1500,3916732,11041016,3272695.193253883
1500,3341013,9387986,2537360.217357279
1500,4007508,11534488,3439541.3360892716
1500,3185808,8979934,2834484.4202065407
1500,3796446,10361387,3112925.308203569
1500,4206577,11919939,3305761.980390393
1500,3506703,9230930,2918795.0476303967
1500,3786850,9161463,3174715.646767389
1500,3248441,9371202,2644442.396284743
1500,3463813,10320805,2917112.3638509875
1500,4038064,10917568,3468563.010382176
1500,3725787,10925801,3090620.4972592103
1500,3265408,8714170,2664800.421235007
2000,2901298,8563947,2363456.522755941
2000,3209086,9143332,2667193.6461146683
2000,3118433,8725595,2521388.0965036675
2000,3771866,10370380,3190909.3345875624
2000,3231069,9219049,2735763.581711285
2000,3426767,8169632,3180413.0605967534
2000,3313649,9389893,2824753.472884873
2000,3531826,10308240,2911872.0359709514
2000,3401293,9296767,3021451.5872003403
2000,4021865,10539925,3535121.161882719
2000,3770368,11052064,3148443.4263219247
2000,3788620,10064921,3313039.8456076835
2000,3134689,8827905,2544337.966085882
2000,3245437,10006935,2702960.087624032
2000,3272379,9443020,2664973.3403041903
2000,3467289,9278927,3059481.685031686
2000,3932413,10596263,3276473.5855570827
2000,3780046,10873580,3262486.2442211597
2000,3203343,9213031,2526665.4564848086
2000,3876420,11370228,3429637.528997418
2000,3085562,8821250,2824251.17551185
2000,3700251,10190405,3103550.8022058886
2000,4067354,11750547,3296259.123924702
2000,3375811,9074754,2909252.006990504
2000,3676424,8997243,3165619.0946111404
2000,3110434,9205537,2635170.430964303
2000,3350317,10152398,2907078.0418833233
2000,3894855,10746016,3458533.832596749
2000,3560663,10760245,3080329.3987952005
2000,3144270,8538336,2655832.7282032096
2500,2803143,8462605,2357480.4195619975
2500,3129408,9044349,2661247.6073144386
2500,3026948,8628717,2516300.630999036
2500,3694831,10267092,3186051.83129407
2500,3157773,9120636,2729675.573680181
2500,3374920,8071887,3174254.606658647
2500,3239798,9287475,2819346.875164425
2500,3490097,10206862,2905654.0866446863
2500,3335246,9199476,3015305.3542920537
2500,3972299,10440266,3529523.225988768
2500,3668223,10949920,3141916.781617986
2500,3717261,9962435,3307371.7962143384
2500,3045454,8731471,2539236.0208977475
2500,3166459,9909753,2697134.9493661355
2500,3220984,9341835,2658472.49782593
2500,3417320,9182523,3054118.7734117014
2500,3839062,10495623,3270534.420429784
2500,3687656,10773116,3256360.874801526
2500,3118757,9108062,2520419.0150179444
2500,3822756,11271632,3423695.244742305
2500,3043575,8726036,2818199.325528295
2500,3598296,10087835,3097926.0986072803
2500,3917339,11648903,3290557.4100452885
2500,3303304,8981057,2903526.182606567
2500,3585660,8898717,3160161.163317391
2500,3038474,9106117,2629607.251772038
2500,3280866,10051353,2901057.4487027265
2500,3821407,10643096,3452516.325925493
2500,3507749,10660892,3074154.7397167934
2500,3054316,8432843,2650452.1123841316
3000,2738669,8395047,2353496.3507660357
3000,3068855,8978366,2657291.3976617362
3000,2968642,8564156,2512908.9873292805
3000,3643351,10198227,3182813.4957650737
3000,3109747,9055024,2725616.9016594444
3000,3337226,8006727,3170148.9706999096
3000,3196879,9219199,2815742.4766841256
3000,3407711,10139285,2901508.7870938433
3000,3312905,9134605,3011207.8656865293
3000,3930557,10373828,3525791.2687261333
3000,3618837,10881838,3137565.685148693
3000,3672470,9894121,3303593.0966187753
3000,2988452,8667184,2535834.724105658
3000,3117363,9844942,2693253.2831181334
3000,3165269,9274388,2654138.602840423
3000,3367821,9118253,3050543.4989983784
3000,3748005,10428534,3266574.977011585
3000,3625372,10706137,3252277.295188435
3000,3060028,9038074,2516290.339825082
3000,3761702,11205936,3419733.721905564
3000,3014400,8662543,2814291.7275593835
3000,3551674,10019443,3094176.2962082075
3000,3881990,11581144,3286756.2674590116
3000,3252279,8918584,2899708.96635061
3000,3532018,8833043,3156522.542454892
