p,Paper,Min Time,Time opt
500,2656240,2183869,2042983.7272256636
500,2627326,2142386,1997005.0680836043
500,2566749,2058612,1953916.1450124227
500,2726947,2246887,2085551.3070061237
500,2607592,2107856,1985888.8685753127
500,2581391,2085335,1970281.3485280545
500,2693572,2165353,2066041.4282661593
500,2671183,2164669,2047164.713754969
500,2571704,2104316,1963394.3490815647
500,2603910,2213261,2013283.8759888585
500,2705444,2187506,2063904.5975249652
500,2700951,2177363,2068742.929375801
500,2553511,2033738,1945458.6267477018
500,2572148,2094897,1962878.4381096805
500,2669113,2154927,2041451.7492112876
500,2525543,2077761,1945763.4906939704
500,2653219,2165672,2032897.4680707515
500,2660545,2145431,2029873.328139208
500,2772642,2250400,2116763.430968627
500,2613451,2110532,1993096.1111788887
500,2506001,2019629,1920957.8294138603
500,2704041,2175614,2070923.1544611936
500,2699359,2164317,2055268.8285403263
500,2488799,2009458,1891243.2323263304
500,2581572,2135816,1987537.1953701961
500,2617285,2144375,2005643.868413595
500,2665569,2226202,2040129.670592762
500,2723831,2218035,2079014.3445465947
500,2618500,2165588,2007297.6628828782
500,2785235,2234722,2125891.7174108736
1000,1300946,1191341,1021491.8636128318
1000,1281540,1152926,998502.5340418022
1000,1245895,1108042,976958.0725062113
1000,1295079,1225414,1042775.6535030619
1000,1251193,1120757,992944.4342876563
1000,1250042,1095566,985140.6742640273
1000,1318143,1163173,1033020.7141330796
1000,1307121,1180668,1023582.3568774845
1000,1229325,1149434,981697.1745407823
1000,1263882,1230387,1006641.9379944293
1000,1316608,1183780,1031952.2987624826
1000,1321309,1184375,1034371.4646879003
1000,1245552,1074194,972729.3133738509
1000,1248812,1124910,981439.2190548403
1000,1311309,1138908,1020725.8746056438
1000,1248474,1144171,972881.7453469852
1000,1276061,1183827,1016448.7340353756
1000,1302881,1139377,1014936.664069604
1000,1339131,1182257,1058381.7154843134
1000,1268028,1148538,996548.0555894444
1000,1231968,1071819,960478.9147069302
1000,1320308,1138118,1035461.5772305968
1000,1305170,1164076,1027634.4142701632
1000,1201182,1095595,945621.6161631652
1000,1270710,1183826,993768.5976850981
1000,1287635,1184437,1002821.9342067975
1000,1293683,1198380,1020064.835296381
1000,1328035,1204621,1039507.1722732973
1000,1268703,1143117,1003648.8314414391
1000,1358155,1207777,1062945.8587054368
1500,832854,847493,680994.5757418879
1500,837248,816531,665668.3560278681
1500,812520,798575,651305.3816708076
1500,826347,896621,695183.7690020413
1500,824533,783224,661962.9561917708
1500,804280,785529,656760.4495093515
1500,837877,816191,688680.4760887198
1500,841178,837495,682388.2379183229
1500,801839,811501,654464.7830271883
1500,806767,889150,671094.6253296195
1500,852648,833208,687968.1991749884
1500,867254,865227,689580.9764586003
1500,812902,749520,648486.2089159007
1500,816895,798216,654292.8127032269
1500,843619,818115,680483.9164037625
1500,802648,831609,648587.8302313235
1500,835692,849170,677632.4893569171
1500,832805,812595,676624.4427130694
1500,866282,825802,705587.8103228756
1500,808290,820602,664365.3703929629
1500,807825,774034,640319.2764712868
1500,861251,816829,690307.7181537312
1500,849649,814507,685089.6095134421
1500,779329,769729,630414.4107754434
1500,825513,826079,662512.398456732
1500,831798,845490,668547.956137865
1500,836543,882058,680043.2235309207
1500,851156,858045,693004.7815155316
1500,820165,834278,669099.2209609594
1500,870560,858931,708630.5724702912
2000,618142,703593,510745.9318064159
2000,619572,668782,499251.2670209011
2000,590316,623176,488479.0362531057
2000,619892,705435,521387.8267515309
2000,600259,614449,496472.21714382817
2000,587342,621143,492570.33713201364
2000,623660,672472,516510.3570665398
2000,626257,675214,511791.17843874224
2000,592327,657484,490848.5872703912
2000,602906,743387,503320.96899721463
2000,627286,652191,515976.1493812413
2000,633920,700076,517185.73234395013
2000,591026,584500,486364.65668692545
2000,588627,662252,490719.60952742014
2000,621935,638593,510362.9373028219
2000,583148,657049,486440.8726734926
2000,609975,675368,508224.3670176878
2000,614866,609101,507468.332034802
2000,633481,683058,529190.8577421567
2000,593154,649450,498274.0277947222
