n,Paper,Min Time,Time opt
100,171997,174455,135264.95191661385
100,169725,197013,132074.59556803893
100,172090,204549,135657.59205852254
100,167623,204862,135704.79963632452
100,179212,169645,139215.89287995544
100,169817,181088,122984.77840698518
100,171073,211993,135780.76599838538
100,172567,159195,132581.37664140118
100,158453,163400,125793.85045794981
100,170415,242326,142189.82963128173
100,184505,165467,142549.34011785552
100,156547,141526,122608.32565415792
100,155351,180607,124600.31423178605
100,175264,216697,140412.58548498634
100,174390,212696,135374.69817456193
100,187189,184082,149841.5708767617
100,166026,200198,136679.98497444188
100,178419,161286,135608.06145510174
100,175683,169546,135402.39063698694
100,162096,178085,126422.0167338417
100,152573,159822,124672.97942511758
100,174721,167686,135828.24063439865
100,150738,179617,121590.35610040116
100,171784,194017,141670.18174400297
100,175649,171517,129085.33230456467
100,145421,133623,113708.02205979644
100,167196,174266,132960.13984713593
100,163226,179806,132590.88924377167
100,184633,213803,144857.58402459722
100,176766,188722,140453.39162076465
200,346911,305009,269115.4153657755
200,364167,383692,286299.9844379911
200,332542,371693,270786.05627382477
200,327810,432204,273913.5829820462
200,299547,351144,237157.02603838284
200,346187,317208,257738.01733123203
200,338477,312743,263256.45488200546
200,363643,385238,288877.21957515477
200,339421,329884,267404.74808868027
200,348316,362186,283601.9021258916
200,347046,342475,270773.3746670321
200,319392,361222,264589.9079017535
200,335706,319306,261281.63843724324
200,323410,358889,263109.22936710337
200,337031,357717,274813.14197433455
200,345147,338064,278948.3752587396
200,321694,377215,263981.5573500181
200,334027,378608,270991.3585199364
200,338649,371118,273480.8591413035
200,341256,328858,272374.3566131307
200,326468,358525,257861.18805649673
200,331628,307923,264571.37238185003
200,361207,365848,282242.4444881502
200,312812,325920,255260.99672868688
200,336709,328790,266517.2749301546
200,340911,344780,270412.68479203345
200,366223,364011,289846.8345890698
200,334564,370171,273078.88191501173
200,320444,338293,258264.23926348987
200,345491,344970,271978.98369771685
300,532827,535069,418786.3552329834
300,496732,505136,397626.5790315133
300,526163,511114,421388.3916447859
300,497664,500678,396805.27204800607
300,492435,525647,403542.7487819403
300,448657,480469,364297.2257864501
300,499177,482283,399115.47045688564
300,500671,509039,404387.397599672
300,497355,480657,402994.3076215725
300,518629,484149,412492.8426659085
300,501130,497082,401745.9560372974
300,520220,543141,412904.7253483478
300,488012,525296,397236.46443662903
300,493292,524067,401840.5684481841
300,483947,474534,393179.87922611507
300,494138,478430,399192.93056258914
300,509799,490012,405752.0831622695
300,492441,495155,376298.8265818692
300,500515,507366,406096.23415190546
300,491854,542781,399201.3501598062
300,497355,573447,403636.39960614586
300,445817,533500,373336.02781377715
300,509869,485713,402633.9895483219
300,486608,541595,396340.65752282256
300,466099,475331,374889.3366793484
300,473991,543189,396928.31808078784
300,500194,500874,404377.6881441967
300,516873,492679,409442.8037849717
300,480503,489519,387084.709106877
300,509569,526741,411780.7458248167
400,661124,640377,527019.572592095
400,631810,603169,507521.7860540623
400,656529,649984,527186.328555443
400,649917,626278,520492.9711976571
400,681657,661460,553652.1403919176
400,669861,633776,546788.8911521651
400,640642,646269,509607.5388928041
400,646142,637199,517062.8064570028
400,669323,659814,532846.2458092739
400,692699,701797,556610.2611466397
400,641202,653704,522951.69608158915
400,650349,667782,531740.1536328165
400,656560,640475,531651.6310679752
400,650967,618462,516509.19772998546
400,674846,656291,542004.1546906022
400,644618,622183,515937.7776202213
400,699009,657700,560664.1812581917
400,628314,605621,508991.33103371557
400,643965,635760,518731.0345094204
400,671782,686894,539336.6001922236
400,630778,681020,521658.026763976
400,674216,677237,545268.1116362872
400,683719,663823,542453.3439180889
400,661425,663086,531237.2237297652
400,647314,690656,532359.6959723688
400,663495,690488,541917.0660935827
400,632517,606025,509665.80872439116
400,635424,684054,524530.0242908768
400,656784,631368,521198.0932911823
400,666779,603694,523773.2724216176
500,830813,846063,680994.5757418879
500,835685,811352,665668.3560278681
500,806211,779423,651305.3816708076
500,830484,905209,695183.7690020413
500,811234,808411,661962.9561917708
500,807372,772914,656760.4495093515
500,851556,823109,688680.4760887198
500,838236,802204,682388.2379183229
500,809250,788534,654464.7830271883
500,817468,870788,671094.6253296195
500,855689,821714,687968.1991749884
500,859102,858407,689580.9764586003
500,816916,744734,648486.2089159007
500,813193,810045,654292.8127032269
500,838555,783208,680483.9164037625
500,800544,763539,648587.8302313235
500,836091,848891,677632.4893569171
500,830464,798167,676624.4427130694
500,869802,850586,705587.8103228756
500,804875,782467,664365.3703929629
500,810423,754884,640319.2764712868
500,858951,812068,690307.7181537312
500,851418,807761,685089.6095134421
500,768943,765755,630414.4107754434
500,819056,816174,662512.398456732
500,830323,839082,668547.956137865
500,831358,858061,680043.2235309207
500,851223,836057,693004.7815155316
500,822473,854552,669099.2209609594
500,870475,843804,708630.5724702912
600,1003123,938042,810752.6431626378
600,997860,978573,815429.4369894167
600,939607,954550,772065.0070346941
600,1018601,1076144,835802.8700134807
600,1036870,1006150,836158.0084916332
600,1026051,944689,820026.635954944
600,1005934,949124,808500.1381526012
600,987400,963448,796310.5517534814
600,1001811,967671,808417.8742937929
600,961481,902173,776749.151055263
600,986070,984885,805607.5029466649
600,1004564,970654,812931.9803677325
600,1001299,976828,803710.4793955041
600,1005394,1019366,812768.4995630041
600,1013413,980888,817400.1528878825
600,979468,975582,795006.6458947837
600,956900,968584,783448.1000541325
600,977083,968642,789298.9137192363
600,971856,987378,795624.9866965151
600,956355,1008613,780614.1652070668
600,1005770,1017371,819492.0931064385
600,966739,912095,775567.3257960263
600,990359,955711,795413.0333719507
600,992334,955852,796575.7391405117
600,980709,911810,786063.0910167502
600,927567,943835,754566.8258117366
600,1003653,935436,803613.5496523128
600,998400,968030,804209.9389278324
600,981529,917652,787480.8989238718
600,974910,950794,794706.877890419
700,1176403,1108978,950160.9664814118
700,1161643,1120674,942669.0211432279
700,1158314,1070399,943130.4418587418
700,1136218,1091071,918673.9310559323
700,1173409,1125660,959848.6105146745
700,1187996,1094473,955614.8494181845
700,1180052,1134309,966037.9415197765
700,1087618,1046323,876164.5223701039
700,1122062,1044405,903611.3820643927
700,1155709,1083437,917312.0237686936
700,1178705,1171203,952095.4546467185
700,1197801,1159517,962256.3678389274
700,1152529,1109923,920479.340179704
700,1197502,1181174,964494.3570188986
700,1145344,1092693,918568.9310448653
700,1181823,1145618,953177.5717235516
700,1112476,1087408,915995.1048247465
700,1131096,1060849,910660.5712032485
700,1160106,1120714,929237.867471169
700,1161442,1111821,959173.9116160651
700,1142378,1090085,922841.9076816961
700,1151430,1096684,929415.9048598887
700,1140553,1110714,922311.6994032841
700,1180839,1106388,940578.4523945716
700,1155206,1071521,938944.4955239854
700,1131405,1058530,907594.724462316
700,1169954,1106336,955114.0559169106
700,1118075,1049142,897603.1734579013
700,1129319,1071017,910541.6114805705
700,1147656,1099145,930934.0413376776
800,1352705,1285957,1089101.3585835064
800,1367254,1275877,1095096.4500514558
800,1347525,1270185,1091462.301144986
800,1259527,1203929,1036905.8603255186
800,1287870,1245925,1047139.8979693472
800,1317451,1304960,1071427.358158738
800,1333132,1257762,1067057.608011531
800,1344741,1306036,1092902.44475554
800,1315111,1216123,1063715.965358084
800,1347543,1279626,1077381.0639859764
800,1315212,1282645,1087658.599246745
800,1333079,1253497,1071028.2456838442
800,1317187,1257486,1071315.7550936134
800,1303570,1216112,1051820.6820644764
800,1309862,1291917,1073443.971159189
800,1304202,1314597,1070285.5394161742
800,1299908,1278934,1061089.432943109
800,1265139,1174694,1022765.9780034717
800,1294939,1259111,1066627.9589584807
800,1366476,1284908,1101176.699978575
800,1337609,1232355,1067316.903683992
800,1357524,1289327,1090307.7171985866
800,1289986,1170349,1042137.0788991378
800,1309697,1275913,1075494.405670657
800,1268020,1172710,1029810.270669801
800,1354644,1275839,1099217.2335141522
800,1312085,1206562,1040609.1048369224
800,1367105,1273955,1101937.7848855555
800,1310473,1237762,1053338.7516629389
800,1378162,1259782,1101459.2277214266
900,1492538,1372944,1200420.4190975963
900,1505469,1457338,1234367.335232841
900,1487938,1413468,1211849.0721664052
900,1471564,1427389,1209444.9745925602
900,1465047,1337914,1188119.1878513992
900,1448327,1404887,1177485.9993456504
900,1483055,1390698,1200844.1283749081
900,1452599,1325410,1168644.0656474705
900,1456638,1377187,1187154.0541903004
900,1483465,1402194,1213624.7074727179
900,1497487,1407071,1204863.7766133302
900,1494219,1436431,1234871.0117607175
900,1467795,1431142,1187896.5889687599
900,1509110,1436867,1228368.7285024337
900,1434957,1346812,1169361.2974597204
900,1502508,1415139,1219326.525939064
900,1462935,1398040,1191940.3539242437
900,1432351,1390809,1166627.4880490315
900,1487510,1408662,1214516.8250775777
900,1500557,1443394,1231398.2774890924
900,1502065,1410216,1197346.2944274403
900,1478016,1337051,1183901.9017217208
900,1445949,1392928,1173717.6219892076
900,1453668,1385658,1179533.0394361187
900,1477409,1349481,1183570.9721648924
900,1449288,1385382,1175380.3988256434
900,1498428,1442923,1227434.1126656034
900,1479769,1429685,1210157.562000099
900,1485774,1422513,1198654.9790071456
900,1505370,1423387,1209524.9465744614
1000,1689880,1576425,1364616.3845054149
1000,1614012,1580374,1310236.572839959
1000,1617368,1574018,1315742.600153349
1000,1589974,1543037,1288360.9693238873
1000,1648023,1618436,1345047.1341998018
1000,1660979,1555637,1343462.4150484968
1000,1629586,1564588,1339714.0408837413
1000,1682647,1545167,1356490.9992859592
1000,1686601,1578192,1374270.2114800527
1000,1567898,1439427,1275217.80931263
1000,1655686,1509929,1329865.3346306798
1000,1682148,1561190,1346562.2045410825
1000,1626035,1519999,1311863.7277428915
1000,1643026,1605913,1339002.7337044494
1000,1646678,1579744,1330630.5973270081
1000,1683620,1571147,1350746.7576722524
1000,1644116,1621992,1331111.5480749963
1000,1674391,1556768,1350341.0926150288
1000,1635094,1577465,1337771.268515034
1000,1637686,1510991,1309840.9385758804
1000,1653641,1523002,1329887.7841408164
1000,1610763,1549435,1300477.8509699458
1000,1613586,1568629,1303720.344477205
1000,1636612,1508795,1327812.6455256324
1000,1598764,1544879,1303887.4897683451
1000,1605143,1529575,1320663.862176019
1000,1579590,1514657,1297756.9143654627
